,0
1493,CR1L
1494,CD46
1495,CD34
1496,PLXNA2
1497,CAMK1G
1498,LAMB3
1499,G0S2
1500,HSD11B1
1501,TRAF3IP3
1502,C1orf74
1503,IRF6
1504,UTP25
1505,SYT14
1506,SERTAD4
1507,HHAT
1508,KCNH1
1509,RCOR3
1510,TRAF5
1511,SLC30A1
1512,NEK2
1513,LPGAT1
1514,INTS7
1515,DTL
1516,PPP2R5A
1517,PACC1
1518,NENF
1519,ATF3
1520,FAM71A
1521,BATF3
1522,NSL1
1523,TATDN3
1524,SPATA45
1525,FLVCR1
1526,VASH2
1527,ANGEL2
1528,PROX1
1529,SMYD2
1530,PTPN14
1531,CENPF
1532,KCNK2
1533,KCTD3
1534,USH2A
1535,ESRRG
1536,GPATCH2
1537,SPATA17
1538,RRP15
1539,TGFB2
1540,LYPLAL1
1541,SLC30A10
1542,EPRS
1543,BPNT1
1544,IARS2
1545,RAB3GAP2
1546,MARK1
1547,C1orf115
1548,MARC2
1549,MARC1
1550,HLX
1551,DUSP10
1552,HHIPL2
1553,TAF1A
1554,MIA3
1555,AIDA
1556,BROX
1557,FAM177B
1558,DISP1
1559,TLR5
1560,SUSD4
1561,CCDC185
1562,CAPN8
1563,CAPN2
1564,TP53BP2
1565,FBXO28
1566,DEGS1
1567,NVL
1568,CNIH4
1569,WDR26
1570,CNIH3
1571,DNAH14
1572,LBR
1573,ENAH
1574,SRP9
1575,EPHX1
1576,TMEM63A
1577,LEFTY1
1578,PYCR2
1579,LEFTY2
1580,SDE2
1581,H3F3A
1582,ACBD3
1583,MIXL1
1584,LIN9
1585,PARP1
1586,STUM
1587,ITPKB
1588,PSEN2
1589,COQ8A
1590,CDC42BPA
1591,ZNF678
1592,SNAP47
1593,JMJD4
1594,WNT9A
1595,ARF1
1596,C1orf35
1597,GUK1
1598,GJC2
1599,IBA57
1600,OBSCN
1601,TRIM11
1602,TRIM17
1603,HIST3H2A
1604,HIST3H2BB
1605,RNF187
1606,RHOU
1607,RAB4A
1608,CCSAP
1609,ACTA1
1610,NUP133
1611,ABCB10
1612,TAF5L
1613,URB2
1614,GALNT2
